CAS,Median PR,Class,ETA_Psi_1,ExtFP974,ExtFP438,AATSC8m
104-35-8,93.14699411057096,1,0.61798,0,0,-0.0244560622181943
104-40-5,92.29050279,1,0.6546,0,0,-0.0830733633333307
106-37-6,92.5247017052252,1,0.98837,0,0,0.0
115-86-6,77.43589743589743,1,0.59754,0,0,-4.786415036180358
1173019-36-7,92.91269325711316,1,0.59322,0,0,-1.2275101461179725
126-71-6,9.174311926605505,0,0.56433,0,0,6.60667667907267
126-73-8,25.618608310090828,0,0.56433,0,0,-3.9136569488178727
13560-92-4,92.5247017052252,1,0.5984,0,0,254.1987743208045
135821-74-8,92.5247017052252,1,0.60118,0,0,50.52629965731257
13674-87-8,5.769230769230769,0,0.52996,0,0,0.0315272627404297
14609-54-2,0.0710732054015636,0,0.56836,1,0,3.905187499163037
1806-26-4,93.02955535129804,1,0.65089,0,0,-0.1772542536558759
183658-27-7,92.5247017052252,1,0.81818,0,0,-74.68897792764928
20427-84-3,92.27053140096618,1,0.59322,0,0,-0.6451010549280516
23488-38-2,92.5247017052252,1,1.07692,0,0,0.0
2385-85-5,92.5247017052252,1,0.57437,0,0,0.0
26040-51-7,92.5247017052252,1,0.72539,0,0,-58.88127151379255
31107-44-5,92.5247017052252,1,0.57016,0,0,245.1396287460977
3278-89-5,92.5247017052252,1,0.87748,0,0,-2.22076482250003
3322-93-8,92.5247017052252,1,1.07692,0,0,0.0
35109-60-5,92.5247017052252,1,0.99138,0,0,49.11322132782366
375-73-5,1.4759795103796003,0,0.26147,0,0,0.0
37853-59-1,93.87011614044546,1,0.90384,0,0,-307.51946367460334
38521-51-6,92.5247017052252,1,1.21052,0,0,0.0
39569-21-6,92.5247017052252,1,1.02087,0,0,0.0
51805-45-9,0.0,0,0.48077,0,0,39.53004836711533
51936-55-1,92.5247017052252,1,0.70998,0,0,458.85871625619785
583-53-9,92.5247017052252,1,0.98837,0,0,0.0
608-90-2,92.5247017052252,1,1.20331,0,0,0.0
615-54-3,92.5247017052252,1,1.07692,0,0,0.0
636-28-2,92.5247017052252,1,1.14679,0,0,0.0
78-40-0,36.17920540997464,0,0.50473,0,0,35.975894190545404
78-51-3,73.74375053835338,1,0.52782,1,0,-7.9610137275016095
791-28-6,73.90438247011951,1,0.70938,0,0,10.390452995815098
80-05-7,88.46729765500001,1,0.60794,0,0,9.524362049586786
85-22-3,93.78317227227916,1,1.13074,0,0,0.0
87-82-1,91.43094264339152,1,1.24999,0,0,0.0
87-83-2,92.5247017052252,1,1.16412,0,0,0.0
94-26-8,58.593970132431664,1,0.53719,0,0,-6.917809020901896
99717-56-3,92.5247017052252,1,0.93846,0,0,623.8388177974999
108-88-3,78.50302419354838,1,0.71429,0,0,0.0
108-95-2,92.17254901960784,1,0.58823,0,0,0.0
117-81-7,75.57539682539684,1,0.58823,0,0,-1.8987956241322232
127-18-4,10.887096774193548,0,0.55556,0,0,0.0
62-75-9,0.0,0,0.42105,0,0,0.0
67-66-3,5.232558139534888,0,0.54412,0,0,0.0
74-87-3,71.30434782608695,1,0.5822,0,0,0.0
75-09-2,23.918453427824268,0,0.55556,0,0,0.0
84-66-2,86.79958521870287,1,0.51402,0,0,-7.513428142857133
84-74-2,77.5,1,0.54687,0,0,-8.134871205128189
85-68-7,66.7,1,0.56522,0,0,-4.837287513250414
1163195,93.834752205,1,1.12167,0,0,204.8223194960524
1222055,43.84615385,0,0.66351,0,1,-0.2570803696581084
139844,85.0,1,0.6546,0,0,-0.0830733633333307
147217752,100.0,1,0.84931,0,0,181.19682324963856
15307865,67.5,1,0.57184,0,0,19.89898819588588
15687271,99.7,1,0.59557,0,0,-6.122633146864546
182346210,91.159889455,1,0.9489,0,0,-23.776704267319232
182677301,100.0,1,0.99078,0,0,-37.98342355565469
189084615,79.493115295,1,0.90206,0,0,-217.1815059272768
189084626,100.0,1,0.90206,0,0,-405.4247387866117
189084648,88.78477306,1,0.9489,0,0,509.841335343934
189084682,100.0,1,1.02844,0,0,-124.17459707105556
207122154,90.0,1,0.99078,0,0,-37.98342355565469
207122165,91.85628743,1,1.02844,0,0,-124.17459707105556
22071154,43.98,0,0.57692,0,1,-0.7659296449560452
22204531,95.625342465,1,0.56338,1,0,6.561648013527584
243982823,79.65840713,1,0.83333,0,0,1.876263989400627
25812300,74.64788732,1,0.57047,0,0,3.110515614364402
29122687,27.96923077,0,0.53658,0,0,0.0068501591810433
298464,4.16314554,0,0.60941,0,1,20.496181522352963
337513721,90.05533118,1,1.0625,0,0,-19.366046767486083
3380345,63.49736842,1,0.56871,0,0,42.660165350000014
35854945,100.0,1,0.99078,0,0,726.7795162704325
37350586,12.68866691025,0,0.55625,0,0,2.3774151868656648
41318756,61.8683555225,1,0.84931,0,0,51.04727779695331
437701785,89.92053659000001,1,1.09344,0,0,199.016195027688
437701796,91.823051945,1,1.09344,0,0,77.13660497142199
45187153,65.26317463,1,0.26147,0,0,0.0
525666,22.863459924,0,0.59519,1,0,-4.437446348465912
5436431,87.69565217,1,0.90206,0,0,284.5972558527743
58082,99.9,1,0.48454,1,0,0.0
60348609,89.82195846,1,0.9489,0,0,-23.776704267319232
63387280,91.16017316,1,1.09344,0,0,148.46484415300765
68631492,90.18484288,1,0.99078,0,0,-37.98342355565469
70458967,80.7860262,1,0.50621,0,0,-5.527629455481062
723466,8.65,0,0.51276,0,0,-3.0756152048979453
738705,27.55,0,0.51613,0,0,2.2041705399920226
80214831,43.33333333,0,0.49716,0,0,-1.1074508739231184
82419361,60.4127279625,1,0.50121,0,0,-8.181862776096805
84852539,100.0,1,1.16412,0,0,71.72471241326528
